                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.89249,                0.85165,                 1.1408,                0.80684,                0.71429,                0.73772,                0.50856,                0.96085,                 1.0357,                 1.0546,              0.0011585,              0.0011585,              0.0011585
                     53,                0.92063,                0.89493,                 1.1663,                0.80684,                0.71429,                0.73772,                0.50856,                0.96085,                 1.0357,                 1.0546,               0.001142,               0.001142,               0.001142
                     54,                0.97929,                0.95607,                  1.229,                 0.7871,                0.71429,                0.71399,                0.50286,                 0.9599,                 0.9916,                 1.0433,              0.0011255,              0.0011255,              0.0011255
                     55,                0.80372,                0.75644,                 1.0916,                0.99883,                0.57143,                0.68262,                0.49886,                 0.9493,                0.96046,                 1.0302,               0.001109,               0.001109,               0.001109
                     56,                 1.0436,                 0.9924,                 1.2802,                0.99883,                0.57143,                0.68262,                0.49886,                 0.9493,                0.96046,                 1.0302,              0.0010925,              0.0010925,              0.0010925
                     57,                0.94325,                0.95984,                 1.2214,                0.95842,                0.57143,                0.70753,                0.51167,                0.95047,                0.94749,                 1.0313,               0.001076,               0.001076,               0.001076
                     58,                0.97161,                0.91572,                 1.2051,                0.90704,                0.57143,                0.69295,                0.51773,                0.91783,                0.97705,                 1.0205,              0.0010595,              0.0010595,              0.0010595
                     59,                0.89002,                0.87285,                 1.1947,                0.90704,                0.57143,                0.69295,                0.51773,                0.91783,                0.97705,                 1.0205,               0.001043,               0.001043,               0.001043
                     60,                0.97386,                0.98373,                 1.2459,                 0.8307,                0.70152,                0.80829,                0.55945,                0.95634,                0.92214,                 1.0363,              0.0010265,              0.0010265,              0.0010265
                     61,                0.91655,                0.81549,                 1.1776,                0.93301,                0.66348,                0.77493,                0.55497,                0.96435,                0.93352,                 1.0569,                0.00101,                0.00101,                0.00101
                     62,                0.90675,                0.80807,                 1.1388,                0.93301,                0.66348,                0.77493,                0.55497,                0.96435,                0.93352,                 1.0569,              0.0009935,              0.0009935,              0.0009935
                     63,                 0.8675,                0.80053,                 1.1325,                0.86255,                0.66667,                0.81119,                0.56324,                0.98405,                0.95001,                 1.0527,               0.000977,               0.000977,               0.000977
                     64,                0.94422,                0.84587,                 1.2186,                0.91506,                0.71429,                0.82386,                0.53389,                0.97637,                0.92165,                 1.0622,              0.0009605,              0.0009605,              0.0009605
                     65,                0.90506,                0.84016,                 1.1626,                0.93222,                0.65557,                0.78699,                 0.5609,                0.96806,                0.94227,                 1.0786,               0.000944,               0.000944,               0.000944
                     66,                0.85908,                0.80993,                  1.152,                0.93222,                0.65557,                0.78699,                 0.5609,                0.96806,                0.94227,                 1.0786,              0.0009275,              0.0009275,              0.0009275
                     67,                0.85152,                0.78642,                 1.1196,                0.89317,                0.61905,                0.70864,                0.51805,                0.99054,                 1.0591,                 1.1311,               0.000911,               0.000911,               0.000911
                     68,                0.91529,                0.84503,                 1.1351,                0.80778,                0.61905,                0.68468,                0.48936,                 1.0484,                  1.132,                 1.1631,              0.0008945,              0.0008945,              0.0008945
                     69,                0.95026,                0.89249,                 1.1676,                0.80778,                0.61905,                0.68468,                0.48936,                 1.0484,                  1.132,                 1.1631,               0.000878,               0.000878,               0.000878
                     70,                0.92599,                0.81639,                 1.2131,                0.92108,                 0.5566,                0.66063,                0.45697,                 1.0818,                 1.1989,                 1.1691,              0.0008615,              0.0008615,              0.0008615
                     71,                0.93825,                0.88386,                 1.2064,                0.99456,                0.52381,                0.64904,                0.43484,                 1.1317,                 1.2494,                 1.1992,               0.000845,               0.000845,               0.000845
                     72,                0.81594,                0.75443,                 1.1486,                0.99456,                0.52381,                0.64904,                0.43484,                 1.1317,                 1.2494,                 1.1992,              0.0008285,              0.0008285,              0.0008285
                     73,                0.84696,                0.74878,                 1.1108,                0.99251,                0.52381,                0.67385,                0.44653,                  1.129,                 1.2451,                 1.2002,               0.000812,               0.000812,               0.000812
                     74,                0.81334,                0.74412,                 1.1015,                      1,                0.51987,                0.66453,                0.45764,                 1.0894,                 1.1627,                 1.1711,              0.0007955,              0.0007955,              0.0007955
                     75,                0.91277,                0.81488,                 1.1656,                      1,                0.51987,                0.66453,                0.45764,                 1.0894,                 1.1627,                 1.1711,               0.000779,               0.000779,               0.000779
                     76,                0.80065,                0.69371,                 1.0974,                 0.9147,                0.52381,                0.72935,                 0.4825,                 1.0584,                 1.1331,                 1.1699,              0.0007625,              0.0007625,              0.0007625
                     77,                0.82549,                0.68735,                 1.1081,                0.72366,                0.62373,                0.75093,                0.51166,                 1.0364,                 1.1123,                 1.1866,               0.000746,               0.000746,               0.000746
                     78,                0.82871,                0.72024,                 1.1047,                0.72366,                0.62373,                0.75093,                0.51166,                 1.0364,                 1.1123,                 1.1866,              0.0007295,              0.0007295,              0.0007295
                     79,                 0.9027,                0.83791,                  1.184,                0.83668,                0.61905,                0.78737,                0.55073,                 1.0523,                 1.0162,                 1.2069,               0.000713,               0.000713,               0.000713
                     80,                0.84403,                0.75532,                 1.1416,                0.87446,                0.66359,                0.77881,                0.55423,                 1.0542,                0.94425,                 1.2161,              0.0006965,              0.0006965,              0.0006965
                     81,                 1.0008,                0.83335,                 1.2832,                0.86166,                0.71429,                0.78841,                0.55983,                 1.0113,                0.93877,                 1.1905,                0.00068,                0.00068,                0.00068
                     82,                 0.7873,                0.71576,                 1.1035,                0.86166,                0.71429,                0.78841,                0.55983,                 1.0113,                0.93877,                 1.1905,              0.0006635,              0.0006635,              0.0006635
                     83,                0.84725,                0.77774,                 1.1255,                0.82207,                0.66667,                0.79605,                0.56096,                0.98125,                0.94685,                 1.1474,               0.000647,               0.000647,               0.000647
                     84,                0.81819,                0.70453,                 1.1148,                      1,                0.56784,                0.78338,                0.55491,                0.92603,                 0.9911,                 1.0712,              0.0006305,              0.0006305,              0.0006305
